fname,label,max_f,max_t,min_f,min_t,sample_idx,Fecha,name,sensor_name,latitud,longitud,hour,time,parent label
G001_20211112_030000.WAV,SENSAT,47297562,5.0,47297562,0.0,0000.wav,2021-11-12 03:00:00,G001,G001,7.3723004,-73.8630135,3,03:00:00,Other
G001_20211112_180000.WAV,MURCIE,44956098,5.0,24819512,0.0,0001.wav,2021-11-12 18:00:00,G001,G001,7.3723004,-73.8630135,18,18:00:00,Biophony
G001_20211112_183000.WAV,INSECT,51980.49,5.0,3721417,0.0,0002.wav,2021-11-12 18:30:00,G001,G001,7.3723004,-73.8630135,18,18:30:00,Biophony
G001_20211112_203000.WAV,MURCIE,33482926,5.0,16776.25,0.0,0003.wav,2021-11-12 20:30:00,G001,G001,7.3723004,-73.8630135,20,20:30:00,Biophony
G001_20211112_220000.WAV,SENSAT,24585365,5.0,24585365,0.0,0004.wav,2021-11-12 22:00:00,G001,G001,7.3723004,-73.8630135,22,22:00:00,Other
G001_20211113_000000.WAV,MURCIE,43023.41,5.0,26648.83,0.0,0005.wav,2021-11-13 00:00:00,G001,G001,7.3723004,-73.8630135,0,00:00:00,Biophony
G001_20211113_053000.WAV,MURCIE,45320.39,5.0,23646717,0.0,0006.wav,2021-11-13 05:30:00,G001,G001,7.3723004,-73.8630135,5,05:30:00,Biophony
G001_20211113_193000.WAV,SENSAT,45320.39,5.0,23646717,0.0,0007.wav,2021-11-13 19:30:00,G001,G001,7.3723004,-73.8630135,19,19:30:00,Other
G001_20211113_200000.WAV,INSECT,30501672,5.0,3531.7727,0.0,0008.wav,2021-11-13 20:00:00,G001,G001,7.3723004,-73.8630135,20,20:00:00,Biophony
G001_20211113_230000.WAV,MURCIE,68709.03,5.0,51371234,0.0,0009.wav,2021-11-13 23:00:00,G001,G001,7.3723004,-73.8630135,23,23:00:00,Biophony
G001_20211113_233000.WAV,MURCIE,42702.34,5.0,26006.69,0.0,0010.wav,2021-11-13 23:30:00,G001,G001,7.3723004,-73.8630135,23,23:30:00,Biophony
G001_20211115_073000.WAV,INSECT,9047923,10.0,7667732,0.0,0538.wav,2021-11-15 07:30:00,G001,G001,7.3723004,-73.8630135,7,07:30:00,Biophony
G001_20211116_190000.WAV,INSECT,18709265,10.0,10121406,0.0,0539.wav,2021-11-16 19:00:00,G001,G001,7.3723004,-73.8630135,19,19:00:00,Biophony
G001_20211116_203000.WAV,INSECT,20549521,2.765757051,9814696,0.0,0540.wav,2021-11-16 20:30:00,G001,G001,7.3723004,-73.8630135,20,20:30:00,Biophony
G001_20211126_080000.WAV,LLUVIA,37418.53,10.0,0.0,0.0,0541.wav,2021-11-26 08:00:00,G001,G001,7.3723004,-73.8630135,8,08:00:00,Geophony
G001_20211129_060000.WAV,INSECT,40485623,10.0,10504792,0.0,0542.wav,2021-11-29 06:00:00,G001,G001,7.3723004,-73.8630135,6,06:00:00,Biophony
G002_20211114_000000.WAV,LLUVIA,49371.43,5.0,-1.0,0.0,0011.wav,2021-11-14 00:00:00,G002,G002,7.4057009,-73.8656118,0,00:00:00,Geophony
G002_20211114_003000.WAV,LLUVIA,49371.43,5.0,-1.0,0.0,0012.wav,2021-11-14 00:30:00,G002,G002,7.4057009,-73.8656118,0,00:30:00,Geophony
G002_20211114_010000.WAV,LLUVIA,49371.43,5.0,-1.0,0.0,0013.wav,2021-11-14 01:00:00,G002,G002,7.4057009,-73.8656118,1,01:00:00,Geophony
G002_20211114_013000.WAV,LLUVIA,49371.43,5.0,-1.0,0.0,0014.wav,2021-11-14 01:30:00,G002,G002,7.4057009,-73.8656118,1,01:30:00,Geophony
G002_20211114_053000.WAV,MURCIE,63360004,5.0,25508572,0.0,0015.wav,2021-11-14 05:30:00,G002,G002,7.4057009,-73.8656118,5,05:30:00,Biophony
G002_20211114_090000.WAV,PULSOS,63360004,5.0,25508572,0.0,0016.wav,2021-11-14 09:00:00,G002,G002,7.4057009,-73.8656118,9,09:00:00,Other
G002_20211114_093000.WAV,PULSOS,63360004,5.0,25508572,0.0,0017.wav,2021-11-14 09:30:00,G002,G002,7.4057009,-73.8656118,9,09:30:00,Other
G002_20211114_180000.WAV,MURCIE,50194285,5.0,27380.29,0.0,0018.wav,2021-11-14 18:00:00,G002,G002,7.4057009,-73.8656118,18,18:00:00,Biophony
G002_20211114_183000.WAV,MURCIE,60891426,5.0,47451426,0.0,0019.wav,2021-11-14 18:30:00,G002,G002,7.4057009,-73.8656118,18,18:30:00,Biophony
G002_20211114_193000.WAV,HERPET,4937143,5.0,-1.0,0.0,0020.wav,2021-11-14 19:30:00,G002,G002,7.4057009,-73.8656118,19,19:30:00,Biophony
