fname_audio,eventID,sensor_name,recorder_model,date,date2,time,hour,decimalLat,decimalLon,grand_label,label,label_desc,Cobertura,GrupoBiolo,fsize,sample.rate,samples,channels,bits,length,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4,min_f,max_f,min_t,max_t,BI,NP,ACI,NDSI,ADI,H,Ht,Hf,SC
G001_20211112_030000.WAV,ANH_64,G001,Audiomoth,2021-11-12 03:00:00,2021-11-12,30000,3.0,7.37222222246,-73.8629722222,Other,SENSAT,Saturated,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,47297.562,47297.562,0.0,5.0,39.68872453444982,53.0,377.38331121403377,0.999128803587356,3.075661785767461,0.734006367460701,0.9630762534361296,0.7621477165923911,0.3867571850496076
G001_20211112_180000.WAV,ANH_64,G001,Audiomoth,2021-11-12 18:00:00,2021-11-12,180000,18.0,7.37222222246,-73.8629722222,biophony,MURCIE,Bat,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,24819.512,44956.098,0.0,5.0,63.69755861030925,49.0,360.9363972098538,0.995743019852508,2.9974737811528067,0.5289882302607275,0.9679340922478517,0.5465126546294574,0.0676571594394433
G001_20211112_183000.WAV,ANH_64,G001,Audiomoth,2021-11-12 18:30:00,2021-11-12,183000,18.0,7.37222222246,-73.8629722222,biophony,INSECT,Insect,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,3721.417,51980.49,0.0,5.0,79.38845246715505,56.0,343.20384032111093,0.995949364413705,3.0356170961517392,0.6821441581676564,0.8804138148602637,0.7747994711735913,0.2093757675401218
G001_20211112_203000.WAV,ANH_64,G001,Audiomoth,2021-11-12 20:30:00,2021-11-12,203000,20.0,7.37222222246,-73.8629722222,biophony,MURCIE,Bat,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,16776.25,33482.926,0.0,5.0,64.7106987750395,46.0,317.10727446950887,0.9758258659056144,3.0709796638518605,0.8477843005789149,0.9772364186498548,0.867532445987031,0.1152868207297236
G001_20211112_220000.WAV,ANH_64,G001,Audiomoth,2021-11-12 22:00:00,2021-11-12,220000,22.0,7.37222222246,-73.8629722222,Other,SENSAT,Saturated,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,24585.365,24585.365,0.0,5.0,64.720335944877,51.0,336.5169073462652,0.9970417456140234,3.021654889665273,0.6582561751253148,0.833021750942969,0.7902028661078512,0.1476692565273141
G001_20211113_000000.WAV,ANH_64,G001,Audiomoth,2021-11-13 00:00:00,2021-11-13,0,0.0,7.37222222246,-73.8629722222,biophony,MURCIE,Bat,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,26648.83,43023.41,0.0,5.0,61.34793406776523,55.0,343.5160674492489,0.9987101355234916,3.036399698107337,0.6604204891360694,0.8297352432997455,0.7959412288065119,0.1464411923323342
G001_20211113_053000.WAV,ANH_64,G001,Audiomoth,2021-11-13 05:30:00,2021-11-13,53000,5.0,7.37222222246,-73.8629722222,biophony,MURCIE,Bat,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,23646.717,45320.39,0.0,5.0,34.51353453253857,9.0,315.1274712295851,0.9685290732235812,3.076944091055636,0.6897003936999012,0.978900402784022,0.7045664622655917,0.0157620509808343
G001_20211113_193000.WAV,ANH_64,G001,Audiomoth,2021-11-13 19:30:00,2021-11-13,193000,19.0,7.37222222246,-73.8629722222,Other,SENSAT,Saturated,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,23646.717,45320.39,0.0,5.0,50.985552401040415,65.0,373.3544155044019,0.9987435201138972,3.066873120216892,0.7164477182435034,0.9218108854275664,0.7772176805128431,0.3154674029807434
G001_20211113_200000.WAV,ANH_64,G001,Audiomoth,2021-11-13 20:00:00,2021-11-13,200000,20.0,7.37222222246,-73.8629722222,biophony,INSECT,Insect,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,3531.7727,30501.672,0.0,5.0,55.00936756267619,38.0,313.7093350852173,0.967397179977925,3.052432474260939,0.6935288970182918,0.964582057690166,0.718994191825472,0.0750937218386524
G001_20211113_230000.WAV,ANH_64,G001,Audiomoth,2021-11-13 23:00:00,2021-11-13,230000,23.0,7.37222222246,-73.8629722222,biophony,MURCIE,Bat,Palma,Sensores Pasivos,23040488,192000,11520000,1,16,60,54.8,45.8,40.1,39.8,51371.234,68709.03,0.0,5.0,44.69253830493975,9.0,323.74197682982265,0.8740499943910673,3.0601142441507974,0.7324472067267209,0.977756052110014,0.7491103789601583,0.0070886837162184
